Year,Units,Disaggregation,Value
2007,Constant 2010 Prices N$ millions,,39430
2007,Constant 2010 Prices N$ millions,Export of Services,5532
2008,Constant 2010 Prices N$ millions,,37713
2008,Constant 2010 Prices N$ millions,Export of Services,5024
2009,Constant 2010 Prices N$ millions,,38385
2009,Constant 2010 Prices N$ millions,Export of Services,5547
2010,Constant 2010 Prices N$ millions,,39447
2010,Constant 2010 Prices N$ millions,Export of Services,4982
2011,Constant 2010 Prices N$ millions,,38148
2011,Constant 2010 Prices N$ millions,Export of Services,5282
2012,Constant 2010 Prices N$ millions,,38531
2012,Constant 2010 Prices N$ millions,Export of Services,4989
2013,Constant 2010 Prices N$ millions,,39610
2013,Constant 2010 Prices N$ millions,Export of Services,4750
2014,Constant 2010 Prices N$ millions,,39421
2014,Constant 2010 Prices N$ millions,Export of Services,5583
2015,Constant 2010 Prices N$ millions,,39283
2015,Constant 2010 Prices N$ millions,Export of Services,5309
2016,Constant 2010 Prices N$ millions,,42305
2016,Constant 2010 Prices N$ millions,Export of Services,4603
2017,Constant 2010 Prices N$ millions,,37184
2017,Constant 2010 Prices N$ millions,Export of Services,2595
