Year,Units,Disaggregation,Region,GeoCode,Value
2012,%,Total,,,27.4
2012,%,Total F,,,31.8
2012,%,Total M,,,22.9
2012,%,Urban,,,28.3
2012,%,Rural,,,26.2
2012,%,Total,!Karas,1.0,23.9
2012,%,Total F,!Karas,1.0,30.7
2012,%,Total M,!Karas,1.0,17.6
2012,%,Total,Erongo,2.0,25.5
2012,%,Total F,Erongo,2.0,34.5
2012,%,Total M,Erongo,2.0,18.9
2012,%,Total,Hardap,3.0,28.8
2012,%,Total F,Hardap,3.0,39.0
2012,%,Total M,Hardap,3.0,21.5
2012,%,Total,Kavango East,4.0,29.8
2012,%,Total F,Kavango East,4.0,31.7
2012,%,Total M,Kavango East,4.0,27.3
2012,%,Total,Kavango West,5.0,29.8
2012,%,Total F,Kavango West,5.0,31.7
2012,%,Total M,Kavango West,5.0,27.3
2012,%,Total,Khomas,6.0,26.5
2012,%,Total F,Khomas,6.0,31.0
2012,%,Total M,Khomas,6.0,22.7
2012,%,Total,Kunene,7.0,27.0
2012,%,Total F,Kunene,7.0,35.4
2012,%,Total M,Kunene,7.0,20.0
2012,%,Total,Ohangwena,8.0,34.6
2012,%,Total F,Ohangwena,8.0,34.9
2012,%,Total M,Ohangwena,8.0,34.2
2012,%,Total,Omaheke,9.0,34.1
2012,%,Total F,Omaheke,9.0,47.1
2012,%,Total M,Omaheke,9.0,23.6
2012,%,Total,Omusati,10.0,28.9
2012,%,Total F,Omusati,10.0,29.1
2012,%,Total M,Omusati,10.0,28.7
2012,%,Total,Oshana,11.0,24.5
2012,%,Total F,Oshana,11.0,23.5
2012,%,Total M,Oshana,11.0,26.1
2012,%,Total,Oshikoto,12.0,26.4
2012,%,Total F,Oshikoto,12.0,28.1
2012,%,Total M,Oshikoto,12.0,24.1
2012,%,Total,Otjozondjupa,13.0,25.3
2012,%,Total F,Otjozondjupa,13.0,37.9
2012,%,Total M,Otjozondjupa,13.0,15.4
2012,%,Total,Zambezi,14.0,28.0
2012,%,Total F,Zambezi,14.0,33.5
2012,%,Total M,Zambezi,14.0,21.3
2013,%,Total,,,29.6
2013,%,Total F,,,33.1
2013,%,Total M,,,25.8
2013,%,Urban,,,29.1
