Year,Units,Disaggregation,Region,GeoCode,Value
2004,Mio Constant USD 2016,,,,46.64731
2005,Mio Constant USD 2016,,,,34.22017
2006,Mio Constant USD 2016,,,,28.28442
2007,Mio Constant USD 2016,,,,29.50562
2008,Mio Constant USD 2016,,,,33.84058
2009,Mio Constant USD 2016,,,,47.53841
2010,Mio Constant USD 2016,,,,37.05667
2011,Mio Constant USD 2016,,,,73.67935
2012,Mio Constant USD 2016,,,,23.50436
2013,Mio Constant USD 2016,,,,19.43077
2014,Mio Constant USD 2016,,,,61.69387
2015,Mio Constant USD 2016,,,,101.34447
2016,Mio Constant USD 2016,,,,246.64485
