Year,Units,Total,Disaggregation,Region,GeoCode,Value
2000,per 1000,Total,,,,88
2000,per 1000,,Urban,,,82
2000,per 1000,,Rural,,,92
2006,per 1000,Total,,,,78
2006,per 1000,,Urban,,,58
2006,per 1000,,Rural,,,92
2006,per 1000,,,!Karas,1.0,112
2006,per 1000,,,Erongo,2.0,76
2006,per 1000,,,Hardap,3.0,103
2006,per 1000,,,Kavango East,4.0,140
2006,per 1000,,,Kavango West,5.0,140
2006,per 1000,,,Khomas,6.0,42
2006,per 1000,,,Kunene,7.0,112
2006,per 1000,,,Ohangwena,8.0,70
2006,per 1000,,,Omaheke,9.0,137
2006,per 1000,,,Omusati,10.0,49
2006,per 1000,,,Oshana,11.0,49
2006,per 1000,,,Oshikoto,12.0,63
2006,per 1000,,,Otjozondjupa,13.0,120
2006,per 1000,,,Zambezi,14.0,121
2013,per 1000,Total,,,,82
2013,per 1000,,Urban,,,66
2013,per 1000,,Rural,,,101
