Year,Units,Disaggregation,Region,GeoCode,Value
2006,%,,,,86.976386036961
2007,%,,,,89.88344071214279
2008,%,,,,90.8065290446471
2009,%,,,,92.3173045772204
2010,%,,,,93.65712214570499
2011,%,,,,94.37475584877821
2012,%,,,,93.08191403081909
2012,%,Female,,,92.49919380844891
2012,%,Male,,,94.06881485527029
2012,%,Primary,,,91.4938166590329
2012,%,Secondary,,,97.11052251384541
2012,%,Total,!Karas,1.0,88.25665859564171
2012,%,Total,Erongo,2.0,94.609375
2012,%,Total,Hardap,3.0,92.07100591715981
2012,%,Total,Khomas,6.0,95.6419711699631
2012,%,Total,Kunene,7.0,90.33412887828159
2012,%,Total,Ohangwena,8.0,94.1829874305759
2012,%,Total,Omaheke,9.0,86.11898016997169
2012,%,Total,Omusati,10.0,95.01651982378851
2012,%,Total,Oshana,11.0,95.9288722508189
2012,%,Total,Oshikoto,12.0,93.0203572912339
2012,%,Total,Otjozondjupa,13.0,90.11406844106459
2012,%,Total,Zambezi,14.0,96.4131994261119
2015,%,,,,87.6
2015,%,Female,,,86.5
2015,%,Male,,,89.6
2015,%,Primary,,,85.8
2015,%,Secondary,,,94.0
2015,%,Total,!Karas,1.0,80.30467899891191
2015,%,Total,Erongo,2.0,92.37576582709329
2015,%,Total,Hardap,3.0,84.17721518987341
2015,%,Total,Kavango East,4.0,83.52331606217619
2015,%,Total,Kavango West,5.0,76.6407904022583
2015,%,Total,Khomas,6.0,93.71617558628981
2015,%,Total,Kunene,7.0,77.61061946902659
2015,%,Total,Ohangwena,8.0,84.91981376099329
2015,%,Total,Omaheke,9.0,79.2429792429792
2015,%,Total,Omusati,10.0,91.16607773851591
2015,%,Total,Oshana,11.0,94.3839791031781
2015,%,Total,Oshikoto,12.0,85.0675428988682
2015,%,Total,Otjozondjupa,13.0,87.34824281150159
2015,%,Total,Zambezi,14.0,95.0093574547723
2016,%,,,,86.9
2016,%,Female,,,85.5
2016,%,Male,,,89.5
2016,%,Primary,,,85.13405132905591
2016,%,Secondary,,,93.4225782649942
2016,%,Total,!Karas,1.0,78.6469344608879
2016,%,Total,Erongo,2.0,91.78433889602051
2016,%,Total,Hardap,3.0,81.97556008146641
2016,%,Total,Kavango East,4.0,82.3529411764706
2016,%,Total,Kavango West,5.0,73.0716253443526
2016,%,Total,Khomas,6.0,93.70424597364571
2016,%,Total,Kunene,7.0,77.9220779220779
2016,%,Total,Ohangwena,8.0,83.77772240219291
2016,%,Total,Omaheke,9.0,78.74564459930309
2016,%,Total,Omusati,10.0,91.240518717886
2016,%,Total,Oshana,11.0,95.4626334519573
2016,%,Total,Oshikoto,12.0,82.95104416295791
2016,%,Total,Otjozondjupa,13.0,88.1081081081081
2016,%,Total,Zambezi,14.0,94.7176684881603
2017,%,,,,87.2
2017,%,Female,,,86.0
2017,%,Male,,,89.6
2017,%,Primary,,,85.5
2017,%,Secondary,,,93.9
2017,%,Total,!Karas,1.0,79.8546209761163
2017,%,Total,Erongo,2.0,89.99397227245329
2017,%,Total,Hardap,3.0,80.8531746031746
2017,%,Total,Kavango East,4.0,83.1225680933852
2017,%,Total,Kavango West,5.0,74.5301360985094
2017,%,Total,Khomas,6.0,93.7843784378438
2017,%,Total,Kunene,7.0,80.6779661016949
2017,%,Total,Ohangwena,8.0,83.7864077669903
2017,%,Total,Omaheke,9.0,78.8221970554926
2017,%,Total,Omusati,10.0,92.44698594233981
2017,%,Total,Oshana,11.0,95.2673093777388
2017,%,Total,Oshikoto,12.0,84.0080294412847
2017,%,Total,Otjozondjupa,13.0,87.0478413068845
2017,%,Total,Zambezi,14.0,95.1077460687245
