Year,Units,Disaggregation,Value
2004,Mio Constant USD 2016,Total,33.3656
2005,Mio Constant USD 2016,Total,29.326999999999998
2006,Mio Constant USD 2016,Total,26.72485
2007,Mio Constant USD 2016,Total,23.556060000000002
2008,Mio Constant USD 2016,Total,21.20586
2009,Mio Constant USD 2016,Total,17.6994
2010,Mio Constant USD 2016,Total,21.53013
2011,Mio Constant USD 2016,Total,29.138070000000003
2012,Mio Constant USD 2016,Total,44.024440000000006
2013,Mio Constant USD 2016,Total,43.33488
2014,Mio Constant USD 2016,Total,46.90032
2015,Mio Constant USD 2016,Total,26.43787
2016,Mio Constant USD 2016,Total,17.07539
